stratum,psu,population_size,inclusion,sampled_psu,allocated_sample
Mueda Host,A_PSU_001,637,TRUE,,
Mueda Host,A_PSU_002,774,TRUE,,
Mueda Host,A_PSU_003,911,TRUE,,
Mueda Host,A_PSU_004,1048,TRUE,,
Mueda Host,A_PSU_005,1185,TRUE,,
Mueda Host,A_PSU_006,1322,TRUE,,
Mueda Host,A_PSU_007,1459,TRUE,,
Mueda Host,A_PSU_008,1596,TRUE,,
Mueda Host,A_PSU_009,1733,TRUE,,
Mueda Host,A_PSU_010,1870,TRUE,,
Mueda Host,A_PSU_011,2007,TRUE,,
Mueda Host,A_PSU_012,2144,TRUE,,
Mueda Host,A_PSU_013,2281,TRUE,,
Mueda Host,A_PSU_014,2418,TRUE,,
Mueda Host,A_PSU_015,2555,TRUE,,
Mueda Host,A_PSU_016,2692,TRUE,,
Mueda Host,A_PSU_017,2829,TRUE,,
Mueda Host,A_PSU_018,2966,TRUE,,
Mueda Host,A_PSU_019,3103,TRUE,,
Mueda Host,A_PSU_020,3240,TRUE,,
Mueda Host,A_PSU_021,3377,TRUE,,
Mueda Host,A_PSU_022,3514,TRUE,,
Mueda Host,A_PSU_023,3651,TRUE,,
Mueda Host,A_PSU_024,3788,TRUE,,
Mueda Host,A_PSU_025,3925,TRUE,,
Mueda Host,A_PSU_026,4062,TRUE,,
Mueda Host,A_PSU_027,4199,TRUE,,
Mueda Host,A_PSU_028,4336,TRUE,,
Mueda Host,A_PSU_029,4473,TRUE,,
Mueda Host,A_PSU_030,4610,TRUE,,
Mueda Host,A_PSU_031,4747,TRUE,,
Mueda Host,A_PSU_032,4884,TRUE,,
Mueda Host,A_PSU_033,521,TRUE,,
Mueda Host,A_PSU_034,658,TRUE,,
Mueda IDP,B_PSU_001,637,TRUE,,
Mueda IDP,B_PSU_002,774,TRUE,,
Mueda IDP,B_PSU_003,911,TRUE,,
Mueda IDP,B_PSU_004,1048,TRUE,,
Mueda IDP,B_PSU_005,1185,TRUE,,
Mueda IDP,B_PSU_006,1322,TRUE,,
Mueda IDP,B_PSU_007,1459,TRUE,,
Mueda IDP,B_PSU_008,1596,TRUE,,
Mueda IDP,B_PSU_009,1733,TRUE,,
Mueda IDP,B_PSU_010,1870,TRUE,,
Mueda IDP,B_PSU_011,2007,TRUE,,
Mueda IDP,B_PSU_012,2144,TRUE,,
Mueda IDP,B_PSU_013,2281,TRUE,,
Mueda IDP,B_PSU_014,2418,TRUE,,
Mueda IDP,B_PSU_015,2555,TRUE,,
Mueda IDP,B_PSU_016,2692,TRUE,,
Mueda IDP,B_PSU_017,2829,TRUE,,
Mueda IDP,B_PSU_018,2966,TRUE,,
Mueda IDP,B_PSU_019,3103,TRUE,,
Mueda IDP,B_PSU_020,3240,TRUE,,
Mueda IDP,B_PSU_021,3377,TRUE,,
Mueda IDP,B_PSU_022,3514,TRUE,,
Mueda IDP,B_PSU_023,3651,TRUE,,
Mueda IDP,B_PSU_024,3788,TRUE,,
Mueda IDP,B_PSU_025,3925,TRUE,,
Mueda IDP,B_PSU_026,4062,TRUE,,
Mueda IDP,B_PSU_027,4199,TRUE,,
Mueda IDP,B_PSU_028,4336,TRUE,,
Mueda IDP,B_PSU_029,4473,TRUE,,
Mueda IDP,B_PSU_030,4610,TRUE,,
Mueda IDP,B_PSU_031,4747,TRUE,,
Mueda IDP,B_PSU_032,4884,TRUE,,
Mueda IDP,B_PSU_033,521,TRUE,,
